document_id	matched_term	object_label	object_id
1411	pufa	polyunsaturated fatty acid	CHEBI:26208
1411	22:4	docosatetraenoic acid	CHEBI:61205
1414	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1414	pufa	polyunsaturated fatty acid	CHEBI:26208
1414	20:3	fatty acid 20:3	CHEBI:36036
1414	n	neutron	CHEBI:30222
2003	sfa	saturated fatty acid	CHEBI:26607
2004	sfa	saturated fatty acid	CHEBI:26607
2005	sfa	saturated fatty acid	CHEBI:26607
2006	sfa	saturated fatty acid	CHEBI:26607
2006	21:0	henicosanoic acid	CHEBI:39248
2007	sfa	saturated fatty acid	CHEBI:26607
2008	mufa	monounsaturated fatty acid	CHEBI:25413
2008	12:1	2-dodecenoic acid	CHEBI:38371
2008	12:1	dodecenoic acid	CHEBI:23867
2009	mufa	monounsaturated fatty acid	CHEBI:25413
2009	14	tetradecanoic acid	CHEBI:28875
2009	14:1	tetradecenoic acid	CHEBI:36004
2009	c	charm quark	CHEBI:36369
2010	mufa	monounsaturated fatty acid	CHEBI:25413
2010	17:1	heptadecenoic acid	CHEBI:36001
2010	c	charm quark	CHEBI:36369
2012	mufa	monounsaturated fatty acid	CHEBI:25413
2012	20:1	(11z)-icos-11-enoic acid	CHEBI:32425
2012	20:1	icosenoic acid	CHEBI:23902
2012	c	charm quark	CHEBI:36369
2013	tfa	trifluoroacetic acid	CHEBI:45892
2013	tfa	trifluoroacetate	CHEBI:27110
2013	20:1	(11z)-icos-11-enoic acid	CHEBI:32425
2013	20:1	icosenoic acid	CHEBI:23902
2013	t	ribothymidine	CHEBI:45996
2013	t	top quark	CHEBI:36371
2013	t	triton	CHEBI:29234
2014	mufa	monounsaturated fatty acid	CHEBI:25413
2014	22:1	docosenoic acid	CHEBI:36031
2014	n	neutron	CHEBI:30222
2015	mufa	monounsaturated fatty acid	CHEBI:25413
2015	22:1	docosenoic acid	CHEBI:36031
2015	n	neutron	CHEBI:30222
2016	pufa	polyunsaturated fatty acid anion	CHEBI:76567
2016	pufa	polyunsaturated fatty acid	CHEBI:26208
2016	18:2	laballenic acid	CHEBI:24993
2016	18:2	octadecadienoic acid	CHEBI:25627
2016	c	charm quark	CHEBI:36369
2018	pufa	polyunsaturated fatty acid anion	CHEBI:76567
2018	pufa	polyunsaturated fatty acid	CHEBI:26208
2018	18:3	conjugated linolenic acid	CHEBI:61160
2018	18:3	octadecatrienoic acid	CHEBI:25633
